,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Link,id,namespace,orig_price,fmt_orig_price,tags,seller,taglist,action,adventure,puzzle,rpg,shooter,strategy,survival,osx,windows,singleplayer,multiplayer
378,378,378,99,Drawful 2,4/2/2020,4/9/2020,https://store.epicgames.com/en-US/p/drawful-2,21da750de4f448eb981a43b2cd216c4d,epic,999.0,$9.99,"['1296', '1203', '1110', '1318', '9547', '1279']",,"[{'id': '1296'}, {'id': '1203'}, {'id': '1110'}, {'id': '1318'}, {'id': '9547'}, {'id': '1279'}]",False,False,False,False,False,False,False,False,True,False,True
379,379,379,98,Gone Home,4/2/2020,4/9/2020,https://store.epicgames.com/en-US/p/gone-home,56b3f851cc664490a9911040da23a611,52326e805bac4619a4a8fac165363a42,1499.0,$14.99,"['1216', '21894', '1370', '9547', '1117', '1294', '10719', '15375']",,"[{'id': '1216'}, {'id': '21894'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1294'}, {'id': '10719'}, {'id': '15375'}]",True,True,False,False,False,False,False,False,True,True,False
380,380,380,97,Hob,4/2/2020,4/9/2020,https://store.epicgames.com/en-US/p/hob,984e5e4ed4574586a2f6b4041dd13b4d,epic,1999.0,$19.99,"['1216', '1381', '1336', '1370', '9547', '1117']",,"[{'id': '1216'}, {'id': '1381'}, {'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}]",True,True,False,False,False,False,False,False,True,True,False
381,381,381,96,Totally Reliable Delivery Service,4/1/2020,4/8/2020,https://store.epicgames.com/en-US/p/totally-reliable-delivery-service,4f480f675a6c4947b1bbfbc73a7d3a93,epic,1499.0,$14.99,"['1400', '1370', '9547', '1263', '10719']",,"[{'id': '1400'}, {'id': '1370'}, {'id': '9547'}, {'id': '1263'}, {'id': '10719'}]",False,False,False,False,False,False,False,False,True,True,False
382,382,382,95,World War Z,3/26/2020,4/2/2020,https://store.epicgames.com/en-US/p/world-war-z,,,,,,,,False,False,False,False,False,False,False,False,False,False,False
383,383,383,94,Tormentor X Punisher,3/26/2020,4/2/2020,https://store.epicgames.com/en-US/p/tormentor-x-punisher,84f8d79ca9d84057ba4406d215cb6ad5,51c19c28a7024793b9e38174d0e1634b,799.0,$7.99,"['1216', '9547', '22924', '1263']",Raw Fury,"[{'id': '1216'}, {'id': '9547'}, {'id': '22924'}, {'id': '1263'}]",True,False,False,False,False,False,False,False,True,False,False
384,384,384,93,Figment,3/26/2020,4/2/2020,https://store.epicgames.com/en-US/p/figment,addd4e86c4d746ab86f21606bdadce7d,270e1d648a5e4060b7b441615c4da4d9,1999.0,$19.99,"['1216', '21109', '1370', '9547', '1117', '1263', '15375']",,"[{'id': '1216'}, {'id': '21109'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1263'}, {'id': '15375'}]",True,True,False,False,False,False,False,False,True,True,False
385,385,385,92,The Stanley Parable,3/19/2020,3/26/2020,https://store.epicgames.com/en-US/p/the-stanley-parable,ba1f4fa2618046a0a8d71588cd0c2a68,4c00c7506c4b4fa695f749bd6bb07ff6,1499.0,$14.99,"['1395', '21894', '1370', '9547', '1116', '1117']",,"[{'id': '1395'}, {'id': '21894'}, {'id': '1370'}, {'id': '9547'}, {'id': '1116'}, {'id': '1117'}]",False,True,False,False,False,False,False,False,True,True,False
386,386,386,91,Watch Dogs,3/19/2020,3/26/2020,https://store.epicgames.com/en-US/p/watch-dogs,62693d9e6f7745d084810f3d0cb87ce5,epic,1999.0,$19.99,"['1216', '1264', '1370', '9547', '1117']",,"[{'id': '1216'}, {'id': '1264'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}]",True,True,False,False,False,False,False,False,True,True,False
387,387,387,90,Mutazione,3/12/2020,3/19/2020,https://store.epicgames.com/en-US/p/mutazione,e33a567a8ce04ed5abc23d5e46a98087,5645a537b6a44f6f82d122729f3253ed,1999.0,$19.99,"['21894', '1287', '1370', '9547', '1117', '1341', '10719', '15375']",,"[{'id': '21894'}, {'id': '1287'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1341'}, {'id': '10719'}, {'id': '15375'}]",False,True,False,False,False,False,False,False,True,True,False
